#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
счастье,3,2,1
грусть,3,2,1
смерть,3,1,2
трагедия,3,1,2
одиночество,3,1,2
любовь,3,2,1
приключение,3,2,1
нежная,3,2,1
волнение,3,2,1
фейерверки,3,2,1
романтика,3,2,1
слёзы,3,1,2
депрессия,3,1,2
сердце,3,2,1
свадьба,3,2,1
страсть,3,2,1
детство,3,2,1
веселье,3,2,1
цвет,3,2,1
надежда,3,1,2
друзья,3,2,1
семья,3,2,1
вечеринка,3,2,1
каникулы,3,2,1
лень,3,2,1
грёзы,3,1,2
боль,3,1,2
выходной,3,2,1
кровать,3,2,1
перо,3,2,1
стыд,3,1,2
страх,3,1,2
тепло,3,2,1
цветок,3,2,1
удобство,3,2,1
танец,3,2,1
песня,3,2,1
плач,3,1,2
смех,3,2,1
тьма,3,1,2
солнечно,3,2,1
тучка,3,2,1
спокойствие,3,1,2
дурашливость,3,2,1
полёт,3,2,1
прекрасно,3,2,1
неотмщенный,3,1,2
роза,3,1,2
вместе,3,2,1
обещание,3,2,1
шарм,3,2,1
красота,3,2,1
ободрение,3,2,1
улыбка,3,2,1
сломанный,3,1,2
драгоценный,3,2,1
мольба,3,1,2
неуклюжая,3,2,1
прощение,3,1,2
природа,3,2,1
океан,3,2,1
ослепляющая,3,2,1
особенная,3,2,1
музыка,3,2,1
удача,3,2,1
неудача,3,1,2
громко,3,2,1
мирно,3,1,2
радость,3,1,2
закат,3,2,1
светлячки,3,2,1
радуга,3,2,1
игра,3,2,1
искорка,3,2,1
шрамы,3,1,2
пустота,3,1,2
удивительная,3,2,1
печаль,3,1,2
объятия,3,1,2
необычайно,3,2,1
здорово,3,2,1
поражение,3,1,2
безнадёжность,3,1,2
страдание,3,1,2
сокровище,3,2,1
счастье,3,2,1
воспоминания,3,2,1

#Natsuki's words
милая,2,3,1
пушисто,2,3,1
чистая,1,3,2
конфета,2,3,1
шоппинг,2,3,1
щенок,2,3,1
котёнок,2,3,1
облака,2,3,1
помада,1,3,2
парфе,2,3,1
клубника,2,3,1
розовый,2,3,1
шоколад,2,3,1
доки-доки,1,3,2
поцелуй,1,3,2
мелодия,2,3,1
ленточка,2,3,1
прыгучая,2,3,1
биение_сердца,2,3,1
кавай,2,3,1
юбка,2,3,1
щёчки,2,3,1
емейл,2,3,1
липкий,2,3,1
прыгучий,2,3,1
сияющий,2,3,1
покусывание,2,3,1
фантазия,1,3,2
сахар,2,3,1
хихиканье,2,3,1
зефир,2,3,1
подпрыгивать,2,3,1
вприпрыжку,2,3,1
мир,2,3,1
крутиться,2,3,1
вертеться,2,3,1
леденец,2,3,1
вжух,2,3,1
пузырьки,2,3,1
шепот,2,3,1
лето,2,3,1
водопад,1,3,2
купальник,2,3,1
ваниль,2,3,1
наушники,2,3,1
игры,2,3,1
носки,2,3,1
волосы,2,3,1
спортплощадка,2,3,1
ночнушка,1,3,2
одеяло,1,3,2
молоко,2,3,1
каприз,2,3,1
злость,2,3,1
папа,2,3,1
валентинка,2,3,1
мышь,1,3,2
свист,2,3,1
тык,2,3,1
кролик,2,3,1
аниме,2,3,1
прыг,2,3,1

#Yuri's words
решимость,1,1,3
суицид,2,1,3
воображение,2,1,3
скрытный,2,1,3
живучесть,1,1,3
существование,2,1,3
лучезарный,1,1,3
малиновый,1,1,3
вихрь,1,1,3
послеобраз,1,1,3
головокружение,1,1,3
дезориентированный,1,1,3
сущность,2,1,3
окружение,2,1,3
звёздное_небо,2,1,3
разоблачение,1,1,3
осквернение,1,1,3
интеллектуальный,1,1,3
анализ,1,1,3
энтропия,1,1,3
оживлённая,1,1,3
сверхъестественный,2,1,3
инконгруэнтный,1,1,3
гнев,2,1,3
благословлённый,2,1,3
резня,2,1,3
философия,1,1,3
непостоянный,1,1,3
цепкий,1,1,3
аура,2,1,3
нестабильный,1,1,3
ад,2,1,3
недееспособный,2,1,3
судьба,2,1,3
непогрешимый,1,1,3
агонизирующий,2,1,3
расхождение,1,1,3
неконтролируемый,2,1,3
чрезвычайный,1,1,3
бегство,2,1,3
сон,2,2,3
катастрофа,2,1,3
пылкий,2,1,3
резонирующий,1,2,3
вопрос,1,2,3
гноение,2,1,3
суждение,1,1,3
клетка,1,2,3
взрывать,1,2,3
удовольствие,1,2,3
похоть,1,2,3
ощущение,1,2,3
кульминация,1,2,3
электричество,1,2,3
отречение,1,1,3
презрение,2,1,3
бесконечность,2,1,3
вечность,2,1,3
время,2,1,3
вселенная,2,1,3
бесконечный,2,1,3
капли_дождя,2,1,3
желанный,1,1,3
необузданный,1,1,3
пейзаж,2,1,3
портрет,2,1,3
путешествие,2,1,3
скудный,1,1,3
тревога,2,1,3
пугающий,2,1,3
ужас,2,1,3
меланхолия,2,1,3
проницательность,2,1,3
компенсировать,2,1,3
дыхание,1,2,3
пленный,2,1,3
желание,1,2,3
кладбище,2,1,3
